#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
17,Ha Youngil,5p,Yuki Satoshi,9p, ,249,2017-01-18, , 
18,Mi Yuting,9p,Shi Yue,9p,B+R,225,2017-01-18, , 
19,Park Jungsang,9p,Cho Han-seong,9p,B+R,207,2017-01-17, , 
20,±åÎÅâư,2p,̉Á̀ÙÓÅÊ«,4p,B+6.5,270,2017-01-16, , 
21,Xu Jiayang,5p,Chen Xian,5p,W+R,262,2017-01-16, , 
22,Mao Ruilong,5p,Li Xuan Hao,6p,B+R,161,2017-01-16, , 
23,Lian Xiao,7p,·¶Ø·,6p,B+R,245,2017-01-16, , 
24,¼̣¾¸Í¥,2p,ÁÖ¾ưÑè,7p, ,249,2017-01-16, , 
25,Gu Li,9p,Hu Yaoyu,8p,B+R,185,2017-01-16, , 
26,Zhang Tao,5p,Xie He,9p,W+0.5,259,2017-01-16, , 
27,°²¶¬Đñ,6p,Zhou Ruiyang,9p, ,215,2017-01-16, , 
28,Liao Xingwen,6p,Shi Yue,9p,W+R,168,2017-01-16, , 
29,Fan Tingyu,9p,Mi Yuting,9p,W+R,190,2017-01-16, , 
30,Lee Changho,9p,Choi Gyu-byung,9p,B+R,227,2017-01-16, , 
31,Park Hamin,2p,Kim Myeonghoon,4p,W+R,236,2017-01-15,"Shinye, 2nd","Final, game 2"
32,̉»Á¦ÁÉ,7p,Takao Shinji,9p, ,280,2017-01-15, , 
33,Iyama Yuta,9p,Kono Rin,9p,W+R,178,2017-01-15,"Kisei, 41st","Title match, game 1"
34,Kim Myeonghoon,4p,Park Hamin,2p,B+R,147,2017-01-14,2nd Shinye final round, 
35,ƠÔ³¿Óî,4p,Xu Jiayang,5p,W+R,162,2017-01-14, , 
36,Fan Yunruo,5p,Xu Jiayang,5p,W+R,196,2017-01-14, , 
37,·¶Ø·,6p,Yu Zhi Ying,5p,B+1.5,243,2017-01-14, , 
38,Fan Tingyu,9p,Zhou Hexi,5p,B+R,245,2017-01-14, , 
